id  , node_mac           , timestamp , received_at                 , air_quality_ppm, temperature, humidity, noise_db, mq135_raw, sound_raw, hop_count, seq_num, rssi, recv_rssi, battery_pct, peer_count, node_state
(32 , '1C:C3:AB:B3:7F:08', 1773928437, '2026-03-19T13:53:58.381198',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1424,         1,     256, -72 , -69      ,         100,          2, 1)
(33 , '28:05:A5:32:43:64', 1773928444, '2026-03-19T13:54:09.505951',           41.46, 31.6       , 48.9    ,     52.4,       162,      1633,         1,     248, -54 , -54      ,         100,          2, 1)
(34 , '1C:C3:AB:B3:7F:08', 1773928447, '2026-03-19T13:54:09.543791',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1424,         1,     257, -75 , -79      ,         100,          2, 1)
(35 , '28:05:A5:32:43:64', 1773928455, '2026-03-19T13:54:15.633406',           41.46, 31.6       , 48.9    ,     52.4,       162,      1629,         1,     249, -54 , -54      ,         100,          2, 1)
(36 , '1C:C3:AB:B3:7F:08', 1773928458, '2026-03-19T13:54:18.705539',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1424,         1,     258, -75 , -84      ,         100,          2, 1)
(37 , '1C:C3:AB:B3:7F:08', 1773928468, '2026-03-19T13:54:36.536444',            6.1 , 32.3       , 50.7    ,     51.2,         0,      1424,         1,     259, -75 , -80      ,         100,          2, 1)
(38 , '28:05:A5:32:43:64', 1773928465, '2026-03-19T13:54:36.588444',           41.0 , 31.6       , 49.0    ,     52.4,       161,      1627,         1,     250, -53 , -54      ,         100,          2, 1)
(39 , '28:05:A5:32:43:64', 1773928475, '2026-03-19T13:54:36.625240',           40.54, 31.6       , 49.0    ,     52.4,       160,      1626,         1,     251, -53 , -54      ,         100,          2, 1)
(40 , '28:05:A5:32:43:64', 1773928495, '2026-03-19T13:55:26.204736',           39.65, 31.7       , 49.1    ,     52.3,       158,      1619,         1,     253, -52 , -54      ,         100,          2, 1)
(41 , '1C:C3:AB:B3:7F:08', 1773928498, '2026-03-19T13:55:26.238521',            6.1 , 32.4       , 50.7    ,     51.2,         0,      1430,         1,     262, -76 , -80      ,         100,          2, 1)
